NU_ANO_CENSO|CO_OCDE_AREA_GERAL|NO_OCDE_AREA_GERAL|CO_OCDE_AREA_ESPECIFICA|NO_OCDE_AREA_ESPECIFICA|CO_OCDE_AREA_DETALHADA|NO_OCDE_AREA_DETALHADA|CO_OCDE|NO_OCDE
2017|6|Agricultura e veterinária|62|Agricultura, florestas e recursos pesqueiros|621|Produção agrícola e pecuária|621M04|Manejo de eqüinos
2017|6|Agricultura e veterinária|62|Agricultura, florestas e recursos pesqueiros|621|Produção agrícola e pecuária|621V01|Viticultura
2017|6|Agricultura e veterinária|62|Agricultura, florestas e recursos pesqueiros|622|Horticultura|622H01|Horticultura
2017|6|Agricultura e veterinária|62|Agricultura, florestas e recursos pesqueiros|622|Horticultura|622M02|Manutenção de áreas verdes
2017|6|Agricultura e veterinária|62|Agricultura, florestas e recursos pesqueiros|623|Engenharia florestal - silvicultura|623C01|Caça e captura de animais
2017|6|Agricultura e veterinária|62|Agricultura, florestas e recursos pesqueiros|623|Engenharia florestal - silvicultura|623S01|Silvicultura
2017|7|Saúde e bem estar social|72|Saúde|721|Medicina|721P01|Patologia
2017|1|Educação|14|Formação de professor e ciências da educação|146|Formação de professor de disciplinas profissionais|146F30|Formação de professor de farmácia
2017|6|Agricultura e veterinária|62|Agricultura, florestas e recursos pesqueiros|621|Produção agrícola e pecuária|621T03|Tecnologia em agronegócio
2017|6|Agricultura e veterinária|62|Agricultura, florestas e recursos pesqueiros|621|Produção agrícola e pecuária|621T04|Tecnologia em cafeicultura
2017|6|Agricultura e veterinária|62|Agricultura, florestas e recursos pesqueiros|624|Recursos pesqueiros|624T01|Tecnologia da produção pesqueira
2017|2|Humanidades e artes|22|Humanidades e letras|223|Língua materna (vernácula)|223C01|Comunicação assistiva
2017|5|Engenharia, produção e construção|52|Engenharia e profissões correlatas|520|Engenharia e profissões de engenharia (cursos gerais)|520G01|Geoprocessamento
2017|8|Serviços|84|Serviços de transportes (cursos gerais)|840|Transportes e serviços (cursos gerais)|840S02|Serviço aeroportuário
2017|5|Engenharia, produção e construção|52|Engenharia e profissões correlatas|520|Engenharia e profissões de engenharia (cursos gerais)|520M01|Manutenção industrial
2017|5|Engenharia, produção e construção|54|Produção e processamento|543|Materiais (madeira, papel, plástico, vidro)|543P04|Produção gráfica
2017|5|Engenharia, produção e construção|54|Produção e processamento|543|Materiais (madeira, papel, plástico, vidro)|543P05|Produção de jóias
2017|5|Engenharia, produção e construção|54|Produção e processamento|543|Materiais (madeira, papel, plástico, vidro)|543P06|Polímeros
2017|5|Engenharia, produção e construção|54|Produção e processamento|544|Mineração e extração|544T03|Tecnologia em rochas ornamentais
2017|5|Engenharia, produção e construção|52|Engenharia e profissões correlatas|520|Engenharia e profissões de engenharia (cursos gerais)|520T02|Tecnologia em gestão de telecomunicações
2017|8|Serviços|81|Serviços pessoais|813|Esportes|813G02|Gestão desportiva e de lazer
2017|8|Serviços|81|Serviços pessoais|812|Viagens, turismo e lazer|812L01|Lazer e turismo
2017|8|Serviços|81|Serviços pessoais|813|Esportes|813F01|Formação de árbitros e outras autoridades esportivas
2017|8|Serviços|84|Serviços de transportes (cursos gerais)|840|Transportes e serviços (cursos gerais)|840C02|Comunicações (por ar, estrada de ferro, rodovia, etc)
2017|8|Serviços|85|Proteção ambiental|851|Tecnologia de proteção ambiental|851C04|Controle da poluição do ar
2017|8|Serviços|85|Proteção ambiental|852|Ambientes naturais e vida selvagem|852C02|Conservação dos recursos naturais
2017|8|Serviços|85|Proteção ambiental|853|Serviços comunitários de saneamento|853T01|Tratamento d¿água
2017|8|Serviços|86|Serviços de segurnça|861|Proteção de pessoas e de propriedades|861S03|Segurança e prevenção de sinistros
2017|8|Serviços|86|Serviços de segurnça|863|Setor militar e de defesa|863T01|Teoria da guerra
2017|7|Saúde e bem estar social|72|Saúde|721|Medicina|721P03|Psiquiatria
2017|7|Saúde e bem estar social|72|Saúde|723|Enfermagem e atenção primária (assistência básica)|723E03|Enfermagem de saúde pública
2017|7|Saúde e bem estar social|72|Saúde|724|Odontologia|724D01|Dentística
2017|7|Saúde e bem estar social|72|Saúde|724|Odontologia|724O03|Ortodontia
2017|7|Saúde e bem estar social|72|Saúde|725|Tecnologias de diagnóstico e tratamento médico|725F01|Fabricação de lentes óticas
2017|7|Saúde e bem estar social|72|Saúde|725|Tecnologias de diagnóstico e tratamento médico|725T02|Tecnologia de aparelhos auditivos
2017|7|Saúde e bem estar social|72|Saúde|725|Tecnologias de diagnóstico e tratamento médico|725T11|Tecnologias de medicina nuclear
2017|7|Saúde e bem estar social|72|Saúde|721|Medicina|721M01|Medicina
2017|7|Saúde e bem estar social|72|Saúde|721|Medicina|721M06|Medicina naturopática
2017|3|Ciências sociais, negócios e direito|34|Comércio e administração|344|Contabilidade e tributação|344C02|Ciências contábeis
2017|3|Ciências sociais, negócios e direito|34|Comércio e administração|345|Gerenciamento e administração|345A13|Administração em prestação de serviços
2017|1|Educação|14|Formação de professor e ciências da educação|140|Formação de professor e ciências da educação (cursos gerais)|140T02|Treinamento e desenvolvimento de recursos humanos
2017|3|Ciências sociais, negócios e direito|34|Comércio e administração|345|Gerenciamento e administração|345A19|Administração em turismo
2017|4|Ciências, matemática e computação|42|Ciências|421|Biologia e bioquímica|421B11|Bioquímica e análise
2017|8|Serviços|81|Serviços pessoais|812|Viagens, turismo e lazer|812P01|Planejamento e organização do turismo
2017|1|Educação|14|Formação de professor e ciências da educação|145|Formação de professor de matérias específicas|145F24|Formação de professor de sociologia
2017|5|Engenharia, produção e construção|52|Engenharia e profissões correlatas|525|Veículos a motor, construção naval e aeronáutica|525T01|Tecnologia aeroespacial
2017|3|Ciências sociais, negócios e direito|34|Comércio e administração|346|Secretariado e trabalhos de escritório|346S01|Secretariado
2017|8|Serviços|86|Serviços de segurnça|860|Serviços de segurança (cursos gerais)|860S01|Serviços de segurança
2017|2|Humanidades e artes|22|Humanidades e letras|220|Humanidades e letras (cursos gerais)|220L01|Letras
2017|2|Humanidades e artes|22|Humanidades e letras|222|Línguas e culturas estrangeiras|222L02|Línguas mortas/clássicas
2017|2|Humanidades e artes|21|Artes|210|Artes (cursos gerais)|210A03|Artes e educação
2017|2|Humanidades e artes|21|Artes|212|Música e artes cênicas|212C01|Canto
2017|5|Engenharia, produção e construção|52|Engenharia e profissões correlatas|523|Eletrônica e automação|523E01|Eletrônica
2017|4|Ciências, matemática e computação|44|Ciências físicas|441|Física|441F01|Física
2017|4|Ciências, matemática e computação|46|Matemática e estatística|462|Estatística|462E01|Estatística
2017|6|Agricultura e veterinária|62|Agricultura, florestas e recursos pesqueiros|624|Recursos pesqueiros|624O01|Oceanocultura
2017|3|Ciências sociais, negócios e direito|31|Ciências sociais e comportamentais|311|Psicologia|311P07|Psicologia do trabalho
2017|1|Educação|14|Formação de professor e ciências da educação|144|Formação de professor da educação básica|144F05|Formação de professor de educação infantil e séries iniciais do ensino fundamental
2017|1|Educação|14|Formação de professor e ciências da educação|146|Formação de professor de disciplinas profissionais|146F09|Formação de professor de disciplinas do setor primário (agricultura, pecuária, etc)
2017|8|Serviços|81|Serviços pessoais|814|Ciências domésticas|814E02|Economia doméstica
2017|8|Serviços|85|Proteção ambiental|850|Proteção ambiental (cursos gerais)|850M01|Meio ambiente
2017|8|Serviços|85|Proteção ambiental|853|Serviços comunitários de saneamento|853A01|Abastecimento de águas (serviço)
2017|7|Saúde e bem estar social|72|Saúde|724|Odontologia|724C01|Ciência dentária
2017|7|Saúde e bem estar social|72|Saúde|725|Tecnologias de diagnóstico e tratamento médico|725R02|Radioterapia
2017|7|Saúde e bem estar social|72|Saúde|726|Terapia e reabilitação|726M02|Musicoterapia
2017|7|Saúde e bem estar social|76|Serviço social|761|Atendimento à criança e serviços para os jovens|761R02|Recreação para jovens
2017|8|Serviços|81|Serviços pessoais|811|Hotelaria, restaurantes  e serviços de alimentação|811C01|Cozinha industrial (do tipo restaurante e hotel)
2017|2|Humanidades e artes|22|Humanidades e letras|223|Língua materna (vernácula)|223L01|Língua/literatura vernácula (português)
2017|3|Ciências sociais, negócios e direito|31|Ciências sociais e comportamentais|312|Sociologia e estudos culturais|312E04|Etnologia
2017|3|Ciências sociais, negócios e direito|31|Ciências sociais e comportamentais|314|Economia|314C01|Contas nacionais
2017|1|Educação|14|Formação de professor e ciências da educação|146|Formação de professor de disciplinas profissionais|146F22|Formação de professor de teatro (artes cênicas)
2017|2|Humanidades e artes|21|Artes|212|Música e artes cênicas|212M02|Música
2017|1|Educação|14|Formação de professor e ciências da educação|143|Formação de professor de educação infantil|143F02|Formação de professor de educação infantil
2017|5|Engenharia, produção e construção|52|Engenharia e profissões correlatas|520|Engenharia e profissões de engenharia (cursos gerais)|520P01|Processos industriais
2017|5|Engenharia, produção e construção|52|Engenharia e profissões correlatas|521|Engenharia mecânica e metalurgia (trabalhos com metais)|521M02|Mecânica
2017|5|Engenharia, produção e construção|52|Engenharia e profissões correlatas|522|Eletricidade e energia|522E08|Estudos de energia
2017|3|Ciências sociais, negócios e direito|34|Comércio e administração|347|Vida profissional|347P01|Padrões de qualidade no trabalho
2017|4|Ciências, matemática e computação|42|Ciências|421|Biologia e bioquímica|421E01|Entomologia
2017|4|Ciências, matemática e computação|44|Ciências físicas|441|Física|441A02|Astrofísica
2017|4|Ciências, matemática e computação|44|Ciências físicas|443|Ciências da terra|443C02|Ciência marinha
